Company,Industry,Website,ATS_Url,Method
Villa Homes,construction,http://www.villahomes.com,https://jobs.lever.co/villa-homes,URL_Guess
Cleanster,internet,http://www.cleanster.com,,
Crowdpac,information technology & services,http://www.crowdpac.com,https://crowdblue.com:443/jobs,Custom_jobs_Page
Pando Electric,automotive,http://www.pandoelectric.com,,
Deep Infra,information technology & services,http://www.deepinfra.com,,
Spur,information technology & services,http://www.spurtest.com,https://jobs.ashbyhq.com/Pear-VC,Site_careers
Amplifier Security,information technology & services,http://www.amplifiersecurity.com,,
Exante,information technology & services,http://www.exante.app,,
Doss,information technology & services,http://www.doss.com,https://jobs.ashbyhq.com/doss,URL_Guess
Lace AI,information technology & services,http://www.lace.ai,https://www.lace.ai/careers,Custom_careers_Page
SquareX,computer & network security,http://www.sqrx.com,,
Conduit,information technology & services,http://www.conduit.app,https://jobs.lever.co/conduit,URL_Guess
Recce,information technology & services,http://www.datarecce.io,https://reccehq.com/careers/,Custom_careers_Page
Mainspring Energy,environmental services,http://www.mainspringenergy.com,https://jobs.lever.co/mainspringenergy,URL_Guess
PayToMe.co,financial services,http://www.paytome.co,,
Glycomine,research,http://www.glycomine.com,https://www.glycomine.com/careers/,Custom_careers_Page
ExaForce,computer & network security,http://www.exaforce.com,https://www.exaforce.com/careers,Custom_careers_Page
Artisan AI,information technology & services,http://www.artisan.co,https://jobs.ashbyhq.com/artisan,URL_Guess
Carta Healthcare,hospital & health care,http://www.carta.healthcare,https://www.carta.healthcare/careers/,Custom_careers_Page
Endor Labs,information technology & services,http://www.endorlabs.com,https://boards.greenhouse.io/endorlabs,Site_careers
Auradine,information technology & services,http://www.auradine.com,https://velaura.ai/careers/,Custom_careers_Page
Plume Network,information technology & services,http://www.plumenetwork.xyz,https://jobs.lever.co/plume,URL_Guess
RISA Labs,research,http://www.risalabs.ai,https://www.risalabs.ai/careers,Custom_careers_Page
Rescale,information technology & services,http://www.rescale.com,https://jobs.ashbyhq.com/rescale,URL_Guess
Remedy Scientific,environmental services,http://www.remedyscientific.com,https://jobs.ashbyhq.com/Remedy,Site_Homepage
Bauplan,information technology & services,http://www.bauplanlabs.com,,
SandboxAQ,information technology & services,http://www.sandboxaq.com,https://jobs.ashbyhq.com/sandboxaq,URL_Guess
Nuro,information technology & services,http://www.nuro.ai,https://www.nuro.ai/careers,Custom_careers_Page
Conifer,electrical/electronic manufacturing,http://www.conifer.io,,
Phonic,information technology & services,http://www.phonic.co,https://jobs.ashbyhq.com/phonic,URL_Guess
Scout AI,defense & space,http://www.scoutco.ai,https://jobs.ashbyhq.com/scout,URL_Guess
Nexad,information technology & services,http://www.nex.ad,,
Further AI,information technology & services,http://www.furtherai.com,https://jobs.ashbyhq.com/further,URL_Guess
Kenzo Security,computer & network security,http://www.kenzo.security,https://www.kenzo.security/careers,Custom_careers_Page
Parsewise,information technology & services,http://www.parsewise.ai,,
SigIQ,information technology & services,http://www.sigiq.ai,,
Opsera,information technology & services,http://www.opsera.io,,
Solve Intelligence,information technology & services,http://www.solveintelligence.com,https://jobs.ashbyhq.com/solveintelligence,URL_Guess
Gruve,information technology & services,http://www.gruve.ai,https://gruve.ai/careers/,Custom_careers_Page
Taxo,hospital & health care,http://www.taxo.ai,https://jobs.ashbyhq.com/taxo,URL_Guess
Springtail,information technology & services,http://www.springtail.io,,
